# A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity
# S. J. Enoch, C. M. Ellison, T. W. Schultz, M. T. D. Cronin
# Critical Reviews in Toxicology 0 0:0, 1-20
"Pro-disubstituted-polarised-aldehydes (disubstituted allyl alcohols)","Mechanistic alert: Pro-Schiff-base-formers-(mono-aldehydes)","C([#6])([#6])=[CH,$(C(=C)([CH2][OH])[#6])][CH2][OH]"
"Epoxides","Mechanistic alert: Epoxides-and-related","C1OC1"
"Aziridines","Mechanistic alert: Epoxides-and-related","C1[NX3]C1"
"Sulfaranes","Mechanistic alert: Epoxides-and-related","C1[SX2]C1"
"Epoxypropane","Mechanistic alert: Epoxides-and-related","C1[CH2,CH]OC1"
"Epithiopropane","Mechanistic alert: Epoxides-and-related","C1[CH2,CH][SX2]C1"
"Lactones","Mechanistic alert: Ring-opening-SN2-reaction","C1CC(=O)O1"
"Nitrosoureas-(nitrogen)","Mechanistic alert: SN2-reaction-at-a-nitrogen-atom","[NX3]C(=O)[$([NH](C=O)[NX2]=O),$(N(C=O)([#6])[NX2]=O)]"
"Nitrosoguanidine-(nitrogen)","Mechanistic alert: SN2-reaction-at-a-nitrogen-atom","[NX3]C(=[NH])[$([NH](C=[NH])[NX2]=O),$(N(C=[NH])([#6])[NX2]=O)]"
"N-acetoxy-N-acetyl-phenyl","Mechanistic alert: SN2-reaction-at-a-nitrogen-atom","[a][NX3](O[$([CH](O)=O),$(C(=O)(O)[#6])])[$([CH](N)=O),$(C(=O)(N)[#6])]"
"N-acyloxy-N-alkoxyamides","Mechanistic alert: SN2-reaction-at-a-nitrogen-atom","[#6]O[NX3](O[$([CH](O)=O),$(C(=O)(O)[#6])])[$([CH](N)=O),$(C(=O)(N)[#6])]"
"Isothiazol-3-ones-(sulphur)","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[cH,$(c(c)([sX2])[#6])]1[cH,$(c(c)(c=O)[#6])]c(=O)[nH,$(n(c=O)([sX2])[#6])][sX2]1"
"Isothiazolin-3-ones-(sulphur)","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[CH2,$([CH](C)([SX2])[#6])]1[CH2,$([CH](C)(C=O)[#6])]C(=O)[NH,$(N(C=O)([SX2])[#6])][SX2]1"
"aromatic-sulphonic-acids","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[a][SX3](=O)[OH]"
"Thiocyanates","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[#6][SX2]C#N"
"Thiols","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[#6][SH]"
"Disulfides","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[#6][SX2][SX2][#6]"
"Thiosulfonates","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[#6][SX2][SX3](=O)[#6]"
"Sulfoxides-of-disulfides","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[#6][SX2][SX4](=O)(=O)[#6]"
"Sulfenyl-halides","Mechanistic alert: SN2-reaction-at-a-sulphur-atom","[#6][SX2][F,Cl,Br,I]"
"N-chloro-sulphonamides","Mechanistic alert: SN2-reaction-at-a-halo-atom","[#6][SX4](=O)(=O)[NH]Cl"
"N-haloimides","Mechanistic alert: SN2-reaction-at-a-halo-atom","[CH,$(C(=O)(N)[#6])](=O)[NX3]([F,Cl,Br,I])[CH,$(C(=O)(N)[#6])]=O"
"Polarised-alkenes-with-a-halogen-leaving-group","Mechanistic alert: SN2-reaction-at-a-sp2-carbon","C=[CH][F,Cl,Br,I]"
"Polarised-alkenes-with-a-sulfonate-leaving-group","Mechanistic alert: SN2-reaction-at-a-sp2-carbon","C=[CH]OS(=O)(=O)[#6]"
"Polarised-alkenes-with-a-sulfate-leaving-group","Mechanistic alert: SN2-reaction-at-a-sp2-carbon","C=[CH]OS(=O)(=O)O[#6]"
"Polarised-alkenes-with-a-phosphonate-leaving-group","Mechanistic alert: SN2-reaction-at-a-sp2-carbon","C=[CH]OP(=[O,SX])(O[#6])[#6]"
"Polarised-alkenes-with-a-phosphate-leaving-group","Mechanistic alert: SN2-reaction-at-a-sp2-carbon","C=[CH]OP(=[O,SX])(O[#6])O[#6]"
"Mustards","Mechanistic alert: Episulfonium-ion-formation","[NX3,SX2][CH2,$([CH]([NX3,SX2])([CX4])[CX4])][CH2,$([CH]([CX4])([Cl,Br,I])[CX4])][Cl,Br,I]"
"1,2-Dihaloalkanes","Mechanistic alert: Episulfonium-ion-formation","[Cl,Br,I][CH2,$([CH]([Cl,Br,I])([CX4])[CX4])][CH2,$([CH]([Cl,Br,I])([CX4])[CX4])][Cl,Br,I]"
"Aliphatic-halide","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[CH3,$([CH2]([F,Cl,Br,I])[#6]),$([CH]([F,Br,Cl,I])([#6])[#6]);!$([CH2,CH]C=O);!$([CH2,CH][CX4][NX3,SX2]);!$([CH2,CH][CX4][F,Cl,Br,I])][F,Cl,Br,I]"
"Sulfates","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[#6]OS(=O)(=O)O[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]"
"Sulfonates","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[#6]S(=O)(=O)O[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]"
"Allyl-acetates-and-related ","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[#6]C(=[O,SX1])[O,SX2][CH2,$([CH]([O,SX2])[#6])][c,CX3,CX2]"
"Nitrosoureas-(carbon)","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[NH2,$([NH](C=[O,NH])[#6]),$(N(C=[O,NH])([#6])[#6])]C(=[O,NH])[NX3]([NX2]=O)[CH3,$([CH2](N)[#6]),$([CH](N)([#6])[#6])]"
"a-Halocarbonyls","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[$([CH]=[O,SX1]),$(C([#6])=[O,SX1])][CH2,$([CH](C=[O,SX1])[#6])][F,Cl,Br,I]"
"Phopshates-(inc-thiophosphates)","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[#6][O,SX2]P(=[O,SX1])([O,SX2][#6])[O,SX2][CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]"
"Phosphonates-(inc-thiophosphonates)","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[#6][O,SX2]P(=[O,SX1])([#6])[O,SX2][CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]"
"a-Haloethers","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[CX4]O[CH2,$([CH](O)([F,Cl,Br,I])[#6])][F,Cl,Br,I]"
"b-Haloethers","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[CX4]O[CH2,$([CH](O)([CX4])[CX4]),$(C(O)([CX4])([CX4])[CX4])][CH2,$([CH](O)([F,Cl,Br,I])[#6])][F,Cl,Br,I]"
"Alkyl-diazo","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[CH3,$([CH2](N=N)[#6]),$([CH](N=N)([#6])[#6])][NX2]=[NH,$(N(=N)[#6])]"
"a-Haloalkenes","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[CH2,$([CH](=C)[#6]),$(C(=C)([#6])[#6])]=[CH,$(C(=C)[#6])][$([CH2](C=C)[F,Cl,Br,I,$(C#N),$(OS(=O)(=O)O[#6]),$(OS(=O)(=O)[#6])]),$([CH](C=C)([#6])[F,Cl,Br,I,$(C#N),$(OS(=O)(=O)O[#6]),$(OS(=O)(=O)[#6])])]"
"a-Haloalkynes","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[CH,$(C(#C)[#6])]#C[$([CH2](C#C)[F,Cl,Br,I,$(C#N),$(OS(=O)(=O)O[#6]),$(OS(=O)(=O)[#6])]),$([CH](C#C)([#6])[F,Cl,Br,I,$(C#N),$(OS(=O)(=O)O[#6]),$(OS(=O)(=O)[#6])])]"
"a-Halobenzyls","Mechanistic alert: SN2-at-an-sp3-carbon-atom","[c][$([CH2]([c])[F,Cl,Br,I,$(C#N),$(OS(=O)(=O)O[#6]),$(OS(=O)(=O)[#6])]),$([CH]([a])([#6])[F,Cl,Br,I,$(C#N),$(OS(=O)(=O)O[#6]),$(OS(=O)(=O)[#6])])]"
"Activated-benzenes","Mechanistic alert: SNAr","[$(c1([F,Cl,Br,$(OC(F)(F)F),$(C#N)])c([N+](=O)[O-])cc([N+](=O)[O-])cc1),$(c1(F)c([N+](=O)[O-])cc([$([CH]=O),$(C(=O)[CH3]),$(C(F)(F)F)])cc1),$(c1(Cl)c([N+](=O)[O-])cc([CH]=O)cc1),$(c1(F)c([$(C#N),$([CH]=O)])cc([N+](=O)[O-])cc1),$(c1([$(OC(F)(F)F),Br,$(C#N)])c([N+](=O)[O-])cc([CH]=O)cc1),$(c1([F,Cl,Br,$(OC(F)(F)F),$(C#N)])cc([N+](=O)[O-])c([N+](=O)[O-])cc1),$(c1([F,Cl,Br,$(OC(F)(F)F),$(C#N)])c([N+](=O)[O-])cccc1([N+](=O)[O-]))]"
"Activated-poly-fluorobenzenes","Mechanistic alert: SNAr","[$(c1([$([N+](=O)[O-]),$([CH]=O),$(C#N),$(C(=O)[CH3])])c(F)c(F)c(F)c(F)c1(F)),$(c1([$([N+](=O)[O-]),$([CH]=O),$(C#N)])c(F)c(F)c(F)c(F)c1),$(c1([$([N+](=O)[O-]),$([CH]=O),$(C#N)])c(F)c(F)c(F)cc1F),$(c1([$([N+](=O)[O-]),$([CH]=O),$(C#N)])c(F)c(F)cc(F)c1F),$(c1([N+](=O)[O-])c(F)c(F)c(F)cc1),$(c1([N+](=O)[O-])c(F)c(F)cc(F)c1),$(c1([N+](=O)[O-])c(F)c(F)ccc1F),$(c1([N+](=O)[O-])c(F)cc(F)cc1F)]"
"Activated-pyridines","Mechanistic alert: SNAr","[$(c1([F,Cl,Br,$(C#N),$(OC(F)(F)F)])ncc([$(N(=O)=O),$(C#N),$([CH]=O),$(C(=O)[CH3])])cc1),$(c1([F,Cl,Br,$(C#N),$(OC(F)(F)F)])ncccc1[$(N(=O)=O),$(C#N),$([CH]=O),$(C(=O)[CH3])]),$(c1([F,Cl,Br,$(C#N),$(OC(F)(F)F)])ccncc1[$(N(=O)=O),$(C#N),$([CH]=O),$(C(=O)[CH3])])]"
