# Converted from OpenBabel file 'MACCS.txt' for CheS-Mapper
# Copyright (C) 2001-2008 greg Landrum and Rational Discovery LLC
# SMARTS definitions for the publically available MACCS keys
"8M Ring or larger. This only handles up to ring sizes of 14","[$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1)]",0
"QO","[!#6;!#1]~[#8]",0
"CL","Cl",0
"QHACH2A","[!#6;!#1;!H0]~*~[CH2]~*",0
"A$A($A)$A","*@*(@*)@*",0
"QA(Q)Q","[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]",0
"XA(A)A","[F,Cl,Br,I]~*(~*)~*",0
"CH3AAACH2A","[CH3]~*~*~*~[CH2]~*",0
"ACH2O","*~[CH2]~[#8]",0
"NCO","[#7]~[#6]~[#8]",0
"NACH2A","[#7]~*~[CH2]~*",0
"AA(A)(A)A","*~*(~*)(~*)~*",0
"Onot%A%A","[#8]!:*:*",0
"CH3CH2A","[CH3]~[CH2]~*",0
"CH3ACH2A","[CH3]~*~[CH2]~*",0
"CH3AACH2A","[$([CH3]~*~*~[CH2]~*),$([CH3]~*1~*~[CH2]1)]",0
"NAO","[#7]~*~[#8]",0
"ACH2CH2A > 1","[$(*~[CH2]~[CH2]~*),$(*1~[CH2]~[CH2]1)]",1
"N=A","[#7]=*",0
"Heterocyclic atom > 1 (&...) FIX: incomplete definition","[!#6;R]",1
"N Heterocycle","[#7;R]",0
"AN(A)A","*~[#7](~*)~*",0
"OCO","[#8]~[#6]~[#8]",0
"QQ","[!#6;!#1]~[!#6;!#1]",0
"Aromatic Ring > 1","?",0
"A!O!A","*!@[#8]!@*",0
"A$A!O > 1 (&...) FIX: incomplete definition","*@*!@[#8]",1
"ACH2AAACH2A","[$(*~[CH2]~*~*~*~[CH2]~*),$([R]1@[CH2;R]@[R]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[R]@[CH2;R]1),$(*~[CH2]~*~[R]1@[R]@[CH2;R]1)]",0
"ACH2AACH2A","[$(*~[CH2]~*~*~[CH2]~*),$([R]1@[CH2]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[CH2;R]1)]",0
"QQ > 1 (&...)  FIX: incomplete definition","[!#6;!#1]~[!#6;!#1]",1
"QH > 1","[!#6;!#1;!H0]",1
"OACH2A","[#8]~*~[CH2]~*",0
"A$A!N","*@*!@[#7]",0
"X (HALOGEN)","[F,Cl,Br,I]",0
"Nnot%A%A","[#7]!:*:*",0
"O=A>1","[#8]=*",1
"Heterocycle","[!C;!c;R]",0
"QCH2A>1 (&...) FIX: incomplete definition","[!#6;!#1]~[CH2]~*",1
"OH","[O;!H0]",0
"O > 3 (&...) FIX: incomplete definition","[#8]",3
"CH3 > 2  (&...) FIX: incomplete definition","[CH3]",2
"N > 1","[#7]",1
"A$A!O","*@*!@[#8]",0
"Anot%A%Anot%A","*!:*:*!:*",0
"6M ring > 1","*1~*~*~*~*~*~1",1
"O > 2","[#8]",2
"ACH2CH2A","[$(*~[CH2]~[CH2]~*),$([R]1@[CH2;R]@[CH2;R]1)]",0
"AQ(A)A","*~[!#6;!#1](~*)~*",0
"CH3 > 1","[C;H3,H4]",1
"A!A$A!A","*!@*@*!@*",0
"NH","[#7;!H0]",0
"OC(C)C","[#8]~[#6](~[#6])~[#6]",0
"QCH2A","[!#6;!#1]~[CH2]~*",0
"C=O","[#6]=[#8]",0
"A!CH2!A","*!@[CH2]!@*",0
"NA(A)A","[#7]~*(~*)~*",0
"C-O","[#6]-[#8]",0
"C-N","[#6]-[#7]",0
"O>1","[#8]",1
"CH3","[C;H3,H4]",0
"N","[#7]",0
"Aromatic","a",0
"6M Ring","*1~*~*~*~*~*~1",0
"O","[#8]",0
"Ring","[R]",0
