# Structural alerts extracted from ToxTree plugin: Structure Alerts for the in vivo micronucleus assay in rodents (MICRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"Acyl halides","[!$([OH1,SH1])]C(=O)[Br,Cl,F,I]"
"Nitro aromatic","[a;!$(a(a[A;!#1;!H])(a[A;!#1;!H]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([OX2H1]));!$(aaa[SX4](=[OX1])(=[OX1])([OX2H1]));!$(aaaa[SX4](=[OX1])(=[OX1])([OX2H1]));!$(aaaaa[SX4](=[OX1])(=[OX1])([OX2H1]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([OX2H1]))]([$([N+]([O-])=O),$([N](=O)=O)])"
"new 2","aN=[CH2]"
"Primary aromatic amine, hydroxyl amine and its derived esters (with restrictions)","[a;!$(a(a[A;!#1])(a[A;!#1]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([O]));!$(aaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([O]))]!@[$([NX3;v3]([#1])([#1])),$([NX3;v3]([OX2H])([#1,CX4,CX3])),$([NX3;v3]([#1,CX4])OC=O)]"
"new 1","aN=C=O"
"Aromatic mono- and dialkylamine","[a;!$(a(a[A;!#1])(a[A;!#1]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([O]));!$(aaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([O]))]!@[$([NX3;v3]([#1,CH3])([CH3])),$([NX3;v3]([#1,CH3])([CH2][CH3])),$([NX3;v3]([CH2][CH3])([CH2][CH3]))]"
"Aromatic N-acyl amine","[a;!$(a(a[A;!#1])(a[A;!#1]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([O]));!$(aaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([O]))]!@[$([NX3;v3]([#1,CH3])C(=O)([#1,CH3]))]"
"Aromatic diazo","a[N]=[N]a"
"aromatic diazo with sulfonic group on both  rings","[$(a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1])))][N]=[N][$(a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1])))]"
"1","O=c1ccc2ccccc2(o1)"
"SA32","c1c(O-C)cc(O-C)cc1"
"SA33","O(c1ccccc1)c1ccccc1"
"SA34","[O,o,OH,N,n,$(P=O),$(C=S),$(S=O),$(C=O)]~[A,a]~[A,a]~[O,o,OH,N,n,$(P=O),$(C=S),$(S=O),$(C=O)]"
"SA35","C1COCC1"
"SA36","CN=C=NC"
