# Structural alerts extracted from ToxTree plugin: Benigni / Bossa rulebase (for mutagenicity and carcinogenicity) (BB_CarcMutRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"Acyl halides","[!$([OH1,SH1])]C(=O)[Br,Cl,F,I]"
"Primary aromatic amine, hydroxyl amine and its derived esters (with restrictions)","[a;!$(a(a[A;!#1])(a[A;!#1]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([O]));!$(aaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([O]))]!@[$([NX3;v3]([#1])([#1])),$([NX3;v3]([OX2H])([#1,CX4,CX3])),$([NX3;v3]([#1,CX4])OC=O)]"
"new 1","aN=C=O"
"Aromatic mono- and dialkylamine","[a;!$(a(a[A;!#1])(a[A;!#1]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([O]));!$(aaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([O]))]!@[$([NX3;v3]([#1,CH3])([CH3])),$([NX3;v3]([#1,CH3])([CH2][CH3])),$([NX3;v3]([CH2][CH3])([CH2][CH3]))]"
"Aromatic N-acyl amine","[a;!$(a(a[A;!#1])(a[A;!#1]));!$(aa[CX3](=O)[OX2H1]);!$(aa[SX4](=[OX1])(=[OX1])([O]));!$(aaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaa[SX4](=[OX1])(=[OX1])([O]));!$(aaaaaa[SX4](=[OX1])(=[OX1])([O]))]!@[$([NX3;v3]([#1,CH3])C(=O)([#1,CH3]))]"
"Aromatic diazo","a[N]=[N]a"
"aromatic diazo with sulfonic group on both  rings","[$(a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1])))][N]=[N][$(a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1]))),$(a:a:a:a:a(S(=[OX1])(=[OX1])([O-,OX2H1])))]"
"2","O=C1C=Cc2ccccc2O1"
"1","O=c1ccc2ccccc2(o1)"
"Thiocarbonyl (Nongenotoxic carcinogens)","[#7X3][#6](=[SX1])[!$([O,S][CX4])!$([OH,SH])!$([O-,S-])]"
"Halogenated benzene  (Nongenotoxic carcinogens)","[c;!$(c[N+](=O)[O-]);!$(c[N]([#1,C])([#1,C]));!$(cN([OX2H])([#1,C]));!$(cN([#1,C])OC=O);!$(c[NX3v3]([#1,CH3])([#1,CH3]));!$(c[NX3v3]([#1,CH3])([CH2][CH3]));!$(c[NX3v3]([CH2][CH3])([CH2][CH3]));!$(cNC(=O)[#1,CH3]);!$(cN=[N]a);!$(c!@[cR1r6]1ccccc1);!$(c!@*!@c1ccccc1);!$([R2])]1[c;!$(c[N+](=O)[O-]);!$(c[N]([#1,C])([#1,C]));!$(cN([OX2H])([#1,C]));!$(cN([#1,C])OC=O);!$(c[NX3v3]([#1,CH3])([#1,CH3]));!$(c[NX3v3]([#1,CH3])([CH2][CH3]));!$(c[NX3v3]([CH2][CH3])([CH2][CH3]));!$(cNC(=O)[#1,CH3]);!$(cN=[N]a);!$(c!@[cR1r6]1ccccc1);!$(c!@*!@c1ccccc1);!$([R2])][c;!$(c[N+](=O)[O-]);!$(c[N]([#1,C])([#1,C]));!$(cN([OX2H])([#1,C]));!$(cN([#1,C])OC=O);!$(c[NX3v3]([#1,CH3])([#1,CH3]));!$(c[NX3v3]([#1,CH3])([CH2][CH3]));!$(c[NX3v3]([CH2][CH3])([CH2][CH3]));!$(cNC(=O)[#1,CH3]);!$(cN=[N]a);!$(c!@[cR1r6]1ccccc1);!$(c!@*!@c1ccccc1);!$([R2])][c;!$(c[N+](=O)[O-]);!$(c[N]([#1,C])([#1,C]));!$(cN([OX2H])([#1,C]));!$(cN([#1,C])OC=O);!$(c[NX3v3]([#1,CH3])([#1,CH3]));!$(c[NX3v3]([#1,CH3])([CH2][CH3]));!$(c[NX3v3]([CH2][CH3])([CH2][CH3]));!$(cNC(=O)[#1,CH3]);!$(cN=[N]a);!$(c!@[cR1r6]1ccccc1);!$(c!@*!@c1ccccc1);!$([R2])][c;!$(c[N+](=O)[O-]);!$(c[N]([#1,C])([#1,C]));!$(cN([OX2H])([#1,C]));!$(cN([#1,C])OC=O);!$(c[NX3v3]([#1,CH3])([#1,CH3]));!$(c[NX3v3]([#1,CH3])([CH2][CH3]));!$(c[NX3v3]([CH2][CH3])([CH2][CH3]));!$(cNC(=O)[#1,CH3]);!$(cN=[N]a);!$(c!@[cR1r6]1ccccc1);!$(c!@*!@c1ccccc1);!$([R2])]c1([Cl,Br,F,I;!$([Cl,Br,I,F]cc[Cl,Br,I,F]);!$([Cl,Br,I,F]ccc[Cl,Br,I,F]);!$([Cl,Br,I,F]c1c([OX2H])c([OX2H])c([OX2H])cc1);!$([Cl,Br,I,F]c1c([OX2H])c([OX2H])cc([OX2H])c1);!$([Cl,Br,I,F]c1c([OX2H])c([OX2H])ccc1([OX2H]));!$([Cl,Br,I,F]c1c([OX2H])cc([OX2H])c([OX2H])c1);!$([Cl,Br,I,F]c1c([OX2H])cc([OX2H])cc1([OX2H]));!$([Cl,Br,I,F]c1cc([OX2H])c([OX2H])c([OX2H])c1)])"
"naphtalenes","[Cl,Br,F,I]c1ccc2ccccc2(c1)"
"biphenyls1","[Cl,Br,F,I]c1ccc(cc1)!@c2ccc(cc2)[Cl,Br,F,I]"
"diphenyls","c1cc(ccc1[!R]c2ccc(cc2)[Cl,Br,F,I])[Cl,Br,F,I]"
"Halogenated dibenzodioxins  (Nongenotoxic carcinogens)","c1ccc2Oc3cc(ccc3(Oc2(c1)))[Cl,Br,F,I]"
"α,β unsaturated carbonyls","[!a,#1;!$(C1(=O)C=CC(=O)C=C1)][#6]([!a,#1;!$(C1(=O)C=CC(=O)C=C1)])!:;=[#6][#6](=O)[!O;!$([#6]1:,=[#6][#6](=O)[#6]:,=[#6][#6](=O)1)]"
"ar-N=C=O","a[NX2;v3]=[CX2H0]=O"
"ar-N=CH2","a[NX2;v3]=[CX3H2]"
"noheterocyclic","[a;!c]"
"Aromatic amine with exclusion rules","[c;!$(c:c[SX4](=[OX1])(=[OX1])([O-,OX2H1]));$(c:c);!$(c:c:c[SX4](=[OX1])(=[OX1])([O-,OX2H1]));$(c:c:c);!$(c:c:c:c[SX4](=[OX1])(=[OX1])([O-,OX2H1]));$(c:c:c:c);!$(c:c:c:c:c[SX4](=[OX1])(=[OX1])([O-,OX2H1]));$(c:c:c:c:c);!$(c:c:c:c:c:c[SX4](=[OX1])(=[OX1])([O-,OX2H1]));$(c:c:c:c:c:c);!$(c:c:c:c:c:c:c[SX4](=[OX1])(=[OX1])([O-,OX2H1]))]!@[N;X3;v3;R0;!$(N[CX4H2][OX2H1]);!$(N(CC[Cl,Br,F,I])(CC[Cl,Br,F,I]));!$(NN);!$(N([#1,C])N=O);!$(NN=N);!$(N[OX2H1])]"
"α,β unsaturated aldehyde","[CX3H1](=O)[#6;!R]=[!R]"
